id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,price,last_review,reviews_per_month
1489424,"Welcoming, easygoing, comfy bed, entire level",5294164,Efrat,FOURTEENTH WARD,42.66719,-73.8158,Private room,1,248,1,233,50,50.0,2024-02-27,1
3820211,Restored Precinct in Center Sq. w/Parking,19648678,Terra,SIXTH WARD,42.65222,-73.76724,Entire home/apt,2,292,4,360,8,125.0,2024-02-18,2
5651579,Large studio apt  by Capital Center & ESP@,29288920,Gregg,SECOND WARD,42.64615,-73.75966,Entire home/apt,7,337,2,79,31,105.0,2024-03-07,3
6623339,Center Sq. Loft in Converted Precinct w/ Parking,19648678,Terra,SIXTH WARD,42.65222,-73.76724,Entire home/apt,2,306,4,0,5,126.0,2023-12-26,2
8915877,"Charming 1BR State Capitol, downtwn",46312980,Robert,SECOND WARD,42.64603,-73.75986,Entire home/apt,3,227,1,311,3,85.0,2024-02-23,2
9005989,"Studio in The heart of Center SQ, in Albany NY",17766924,Sugey,SIXTH WARD,42.65559,-73.76506,Entire home/apt,1,580,1,0,39,87.0,2024-02-25,6
9501054,Spacious suite with full bath by Capital  Center,29288920,Gregg,SECOND WARD,42.64734,-73.75851,Private room,2,370,2,138,39,61.0,2024-03-07,3
10768745,Alb hospital area studio bath wifi. (Red),5691268,Elizabeth,FOURTEENTH WARD,42.66078,-73.80553,Entire home/apt,1,631,2,112,98,50.0,2024-02-29,6
11253948,/Fire Place Bungalow\ 1917 SUNY Eagle 6Beds 2Baths,4259750,Peter,FIFTEENTH WARD,42.67567,-73.82438,Entire home/apt,1,145,9,0,23,243.0,2024-02-25,1
11639446,$55twin($30 foreign student)FreeBF Noa/c no smoke,61700428,Adam,ELEVENTH WARD,42.67583,-73.78297,Private room,1,231,2,363,16,55.0,2024-02-29,2
13083497,Pristine Cape Cod on the Creek! 4 Large Bedrooms,1364123,Akhilesh,FIFTEENTH WARD,42.66972,-73.82753,Entire home/apt,2,174,1,299,14,219.0,2024-01-06,1
16531782,On a little park in Albany pine hills. (Blue),5691268,Elizabeth,FOURTEENTH WARD,42.66075,-73.80605,Entire home/apt,1,353,2,295,115,70.0,2024-02-29,7
17238066,"$53($25 foreign student)Twin, noa/cno
Smoke freeBF",61700428,Adam,FIFTH WARD,42.67614,-73.78169,Private room,3,130,2,365,2,53.0,2023-09-11,1
19527043,Charming 1 Bedroom in a Historic Residential Home,15223767,Ed,NINTH WARD,42.65312,-73.78161,Private room,1,71,3,242,19,70.0,2023-10-22,1
20633175,"Garden Apartment, on the Park, close to Capital.",65414985,James,SEVENTH WARD,42.64939,-73.76865,Entire home/apt,2,130,2,298,1,126.0,2023-05-28,1
21392315,The Blair Suite,98744672,Bela,NINTH WARD,42.65372,-73.78244,Entire home/apt,2,111,8,275,14,70.0,2024-02-19,1
21752534,"NEW LISTING! Modern, completely updated, LOCATION!",152762198,Allen,TENTH WARD,42.66045,-73.77833,Entire home/apt,2,156,9,354,12,69.0,2024-02-19,2
22398196,Elegant Guest Suite in our beautiful Victorian!,98744672,Bela,NINTH WARD,42.65501,-73.78122,Private room,2,105,8,303,18,55.0,2024-01-11,1
22431640,"Bright Central Apartment Near Hospital, Park and",108848737,Jake,SEVENTH WARD,42.64717,-73.77135,Entire home/apt,1,434,2,64,28,80.0,2024-02-28,6
24120690,One Bedroom apartment with private entrance,156446839,Domini,FOURTEENTH WARD,42.65975,-73.81196,Private room,2,120,1,0,23,75.0,2024-02-02,1
24655782,⭐⭐Check it out! This apartmnt has a bunch of great,108848737,Jake,SEVENTH WARD,42.6477,-73.7714,Entire home/apt,1,355,2,0,39,77.0,2024-01-01,4
25549565,Quiet and Pretty in the Heart of Center Square,9666970,Janet,SIXTH WARD,42.65345,-73.7645,Entire home/apt,1,777,1,0,131,70.0,2024-02-22,11
26139592,Garden Apartment in Ctr. Square: Monthly Discounts,6833937,Farah,SIXTH WARD,42.65403,-73.76325,Entire home/apt,2,107,1,0,10,89.0,2024-02-01,1
28400263,Private Room in Historic Residential Home,15223767,Ed,NINTH WARD,42.65464,-73.78348,Private room,1,244,3,234,30,50.0,2024-02-08,3
28722270,✍Historic Loft Suite @ Downtown Albany,44434571,Earl,SECOND WARD,42.64535,-73.75365,Entire home/apt,1,616,6,0,41,91.0,2024-03-06,9
28868857,⭐Cozy Garden Suite Full Amenities @Downtown Albany,44434571,Earl,SECOND WARD,42.64535,-73.75365,Entire home/apt,1,541,6,299,76,62.0,2024-03-04,8
29605579,Funky Urban 1 Bedroom Apt w/ Parking in Center Sq,19648678,Terra,SIXTH WARD,42.65235,-73.76714,Entire home/apt,2,88,4,346,8,119.0,2023-09-04,1
30189794,Seashore Suite At The Inn on South Lake,98744672,Bela,NINTH WARD,42.6533,-73.78114,Private room,2,63,8,0,11,55.0,2023-12-30,1
32993402,✨Historic Full Amenities 2BR Apt @Downtown Albany,44434571,Earl,SECOND WARD,42.64563,-73.75311,Entire home/apt,1,404,6,189,34,103.0,2023-12-26,6
33558235,"❣️Historic, Spacious & Fun 2BR Apt @Dwtown Albany",44434571,Earl,SECOND WARD,42.64585,-73.75297,Entire home/apt,1,395,6,334,40,100.0,2023-12-01,6
34330970,Muhammed Ali Lounge & Pool Hall ⬢⬡,232967878,Diana,SECOND WARD,42.64335,-73.7579,Entire home/apt,1,249,22,0,55,141.0,2024-02-25,4
35793179,Cozy Bedroom in Historic Residential Home,15223767,Ed,SEVENTH WARD,42.65259,-73.78223,Private room,1,151,3,226,46,50.0,2024-02-18,2
35914565,The Poker Room ♤ Downtown Albany,232967878,Diana,SECOND WARD,42.64506,-73.75727,Entire home/apt,1,260,22,73,53,100.0,2024-02-18,4
38321579,Comfy and quiet,172223381,Diana,EIGHTH WARD,42.65085,-73.80239,Private room,1,294,2,144,98,55.0,2024-03-02,5
39836487,Completely Renovated Center Square Top FL Studio,306508346,Adem,SIXTH WARD,42.65547,-73.7651,Entire home/apt,1,247,2,69,68,78.0,2024-02-29,4
39864828,Stunning Bungalo-style Loft in downtown Albany,10313615,Matthew,FOURTH WARD,42.66091,-73.74285,Entire home/apt,1,225,1,254,29,217.0,2024-03-10,4
39873571,Lovely 2 bedroom apartment in downtown Albany.,306508346,Adem,THIRD WARD,42.65682,-73.76298,Entire home/apt,1,139,2,172,53,78.0,2023-08-30,6
40491172,"Renovated, private parking,location, washer dryer!",152762198,Allen,THIRTEENTH WARD,42.66827,-73.79231,Entire home/apt,2,101,9,0,18,95.0,2024-02-17,1
40828178,Comfortable! One Bedroom A/C Apartment Queen Bed,47491906,Lloyd,FOURTH WARD,42.67773,-73.73899,Entire home/apt,1,166,1,229,4,109.0,2023-08-07,3
42092736,Private Bedroom in Cozy Ranch Home,41400541,John,FOURTEENTH WARD,42.66403,-73.81446,Private room,1,141,1,159,51,45.0,2024-03-06,2
43208391,Historic Downtown Albany Apartment,272907816,Angela,SECOND WARD,42.64453,-73.75426,Entire home/apt,2,80,4,75,14,117.0,2024-02-28,1
43736299,*The Blue House* Incredible 3 Bedroom Apartment,349460842,Scott,TENTH WARD,42.66257,-73.78281,Entire home/apt,1,110,5,356,26,145.0,2024-02-21,2
43955950,* Quaint home located in residential neighborhood*,232967878,Diana,EIGHTH WARD,42.64383,-73.78926,Entire home/apt,2,68,22,0,21,245.0,2024-02-24,1
44180048,Historic Queen Studio Across from Washington Park!,355777684,Lloyd,SIXTH WARD,42.65935,-73.76805,Entire home/apt,1,326,3,349,70,109.0,2024-03-02,7
44265426,Parkside Queen 1 Bedroom (1800's) Brownstone!,355777684,Lloyd,SIXTH WARD,42.66006,-73.76966,Entire home/apt,1,282,3,262,55,119.0,2024-02-28,6
45024912,Private Apt Queen 1 Bed Sanctuary with many Extras,362851072,Elsa,FOURTEENTH WARD,42.66132,-73.7956,Entire home/apt,1,119,1,0,19,119.0,2024-03-03,2
45313545,Adorable & Trendy 1 Bd Apt Minutes to Albany Med!,165293595,Kori,NINTH WARD,42.6545,-73.78223,Entire home/apt,2,108,1,143,41,79.0,2024-02-24,2
45528939,UNIQUE Gem in HEART of Albany ★ Spiral Staircase,47625981,Linda,SECOND WARD,42.64801,-73.75668,Entire home/apt,1,83,15,342,22,120.0,2023-11-30,2
45529316,WOW ★ Bright Apt ★ PRIME downtown Walk Everywhere,47625981,Linda,SECOND WARD,42.64821,-73.75793,Entire home/apt,1,95,15,0,23,122.0,2024-02-18,2
45529447,★ 2 BEDROOM / 1 BATH TRENDY Apt ★ Downtown Albany,47625981,Linda,SECOND WARD,42.64713,-73.75628,Entire home/apt,1,118,15,0,24,140.0,2024-02-09,3
45804322,Home in Heart of Pine Hills,124848440,Emilie,TENTH WARD,42.66137,-73.7904,Private room,1,140,1,72,58,100.0,2024-03-01,3
46894493,Our Antique Bungalow,69789449,Dan,NINTH WARD,42.65311,-73.78525,Entire home/apt,1,203,1,244,58,175.0,2024-03-05,5
47334913,"Newly renovated,Amazing Location,private parking",152762198,Allen,THIRTEENTH WARD,42.66646,-73.79184,Entire home/apt,3,61,9,163,21,92.0,2024-03-01,1
47345872,Bright large 1 bdr loft in Center Sq -free parking,19648678,Terra,SIXTH WARD,42.65345,-73.76663,Entire home/apt,2,40,4,0,12,125.0,2023-09-03,1
47408047,"Quiet cozy apartment, private laundry, great spot!",152762198,Allen,FOURTEENTH WARD,42.67156,-73.80883,Entire home/apt,3,42,9,357,13,79.0,2024-03-05,1
47440071,Lux Loft Suite in Historic Jesse Buel House,382970529,Thomas,THIRTEENTH WARD,42.6692,-73.79849,Private room,2,113,10,0,34,95.0,2023-12-19,2
47943571,Downtown Albany 1 Bed + Workstation @ Maiden Lane,385664127,Dillon,THIRD WARD,42.6511808672392,-73.7527389447162,Entire home/apt,1,133,2,317,44,109.0,2024-03-05,3
48052353,*The Rustic Home* 3 Bedroom Second Floor Apartment,349460842,Scott,TENTH WARD,42.66261,-73.78332,Entire home/apt,1,146,5,293,33,147.0,2024-02-25,3
48124042,Downtown Albany 2 Bedroom + Workstation @ The Mark,385664127,Dillon,THIRD WARD,42.6498184537811,-73.7509022812774,Entire home/apt,1,174,2,214,48,117.0,2024-03-05,5
48172884,The Down Under Suite,98744672,Bela,NINTH WARD,42.65399,-73.78126,Private room,2,51,8,0,23,45.0,2024-02-28,1
48599533,Capital View I,392074908,Jerry,SIXTH WARD,42.65429,-73.75986,Entire home/apt,2,93,5,351,21,88.0,2024-02-28,2
50171851,Beautiful Center Square Garden-Level Unit,48490017,Todd,SIXTH WARD,42.65157,-73.76546,Entire home/apt,2,144,1,190,58,109.0,2024-03-03,4
50207226,★ RARE 1BR Apt with Character GREAT Location! W/D★,47625981,Linda,FOURTH WARD,42.65888,-73.74673,Entire home/apt,1,68,15,0,14,115.0,2023-11-01,2
50211226,Quiet Studio By Washington Park | Walkable!,105597161,Jake & Kate,ELEVENTH WARD,42.66034,-73.77163,Entire home/apt,2,149,1,255,69,110.0,2024-03-03,5
50639032,"Sunny Queen bed, Quiet w/Beautiful Garden",172539578,David Yisrael,FIFTEENTH WARD,42.67945,-73.81647,Private room,3,36,3,159,5,63.0,2023-08-28,1
50890336,"★CHIC, Renovated Brownstone★ in PRIME DT Albany",47625981,Linda,FOURTH WARD,42.65901,-73.74748,Entire home/apt,1,39,15,361,9,120.0,2023-10-08,1
51230498,"Chic-romantic, center-city, hotel-style apartment.",414738935,Sonya,THIRD WARD,42.66064,-73.76074,Entire home/apt,1,211,1,0,61,64.0,2024-02-17,6
51579900,★MODERN 1BR GREAT Location Downtown! W/D Parking!★,47625981,Linda,FOURTH WARD,42.65856,-73.74866,Entire home/apt,1,65,15,358,23,115.0,2024-02-18,2
51592836,Lovely 1 Bedroom Unit In Historic Brownstone!,60293220,David,THIRD WARD,42.65812,-73.74941,Entire home/apt,3,69,3,344,25,85.0,2024-02-19,2
51710034,Empire Plaza View I,392074908,Jerry,SIXTH WARD,42.65269,-73.76076,Entire home/apt,2,32,5,221,10,88.0,2023-11-12,1
51960331,"Tuscan Garden Apt at Café Capriccio Albany, NY",418024477,Marlene,SECOND WARD,42.64684,-73.75614,Entire home/apt,1,80,1,162,13,125.0,2024-03-10,2
52152157,"Modern space, everything you could want!",152762198,Allen,FIRST WARD,42.63066,-73.77357,Entire home/apt,3,50,9,122,15,99.0,2024-02-26,1
52241973,Garden Apartment in Historic Center Square Home,35465673,Jason,SIXTH WARD,42.65641,-73.76413,Entire home/apt,1,205,1,0,78,87.0,2024-02-29,7
52359404,3 bedroom quiet neighborhood w/ off street parking,207800855,Iris,FIFTEENTH WARD,42.67044,-73.82573,Entire home/apt,1,79,2,358,38,120.0,2024-03-03,2
52360097,Empire Plaza View II,392074908,Jerry,SIXTH WARD,42.65386,-73.75958,Entire home/apt,2,64,5,0,7,88.0,2024-01-12,2
52569714,* Swanky Triplex in Historic building w/parking *,232967878,Diana,SECOND WARD,42.64186,-73.75868,Entire home/apt,1,52,22,86,14,135.0,2024-02-19,1
52611613,* Adorable home w/parking near great restaurants *,232967878,Diana,NINTH WARD,42.65674,-73.79221,Entire home/apt,2,101,22,79,39,185.0,2024-02-10,3
52619545,* Centrally located Eclectic vibe 2 bed w/parking,232967878,Diana,THIRTEENTH WARD,42.67181,-73.79543,Entire home/apt,2,70,22,87,28,125.0,2024-01-01,2
52836323,*Hidden gem w/in walking distance to Madison Ave *,232967878,Diana,THIRTEENTH WARD,42.67131,-73.7921,Entire home/apt,1,57,22,0,32,145.0,2024-02-24,2
52837196,★MODERN 1BR Apt w/ PRIVATE deck! W/D★,47625981,Linda,FOURTH WARD,42.65812,-73.74837,Entire home/apt,1,60,15,271,20,115.0,2024-02-29,2
52863776,Washington Parkside 1 Bedroom In 1800s Brownstone!,355777684,Lloyd,SIXTH WARD,42.65826,-73.76944,Entire home/apt,1,146,3,332,57,119.0,2024-02-28,5
53312101,* 1 bed near Times Union center & Egg w/parking *,232967878,Diana,SECOND WARD,42.64369,-73.7581,Entire home/apt,1,41,22,85,22,95.0,2024-01-14,1
53483727,Spacious Urban APT w/4BR & Office in Albany,433096110,Brian,FOURTEENTH WARD,42.65824,-73.80114,Entire home/apt,1,107,3,244,42,175.0,2024-03-08,4
53567589,Private Garden Apt in Downtown Albany|Pets Allowed,433096110,Brian,SIXTH WARD,42.65204,-73.76655,Entire home/apt,1,180,3,320,70,99.0,2024-03-08,6
53645427,★ BEAUTIFUL  2 BED 2 BATH  w/ SOAKER TUB + W/D★,47625981,Linda,FOURTH WARD,42.65913,-73.74722,Entire home/apt,1,75,15,349,30,150.0,2024-01-01,2
54126420,Beautiful 1 bedroom in a quiet residential area.,37769478,Erion,TENTH WARD,42.66261,-73.79026,Entire home/apt,1,67,8,364,22,75.0,2024-03-01,3
